Adults,Children,LeadDays,LengthOfStay,ArrivalDate-WeekDay
6,2,7,8,Monday
6,0,69,4,Saturday
3,1,63,1,Friday
6,0,20,2,Tuesday
6,0,75,4,Saturday
3,0,3,9,Thursday
3,0,84,3,Sunday
6,0,0,5,Saturday
3,0,26,3,Thursday
1,0,22,2,Thursday
5,0,59,1,Friday
1,0,5,2,Thursday
6,0,15,2,Friday
2,1,50,1,Tuesday
3,1,48,3,Thursday
4,0,15,6,Wednesday
5,0,63,8,Friday
1,1,5,4,Wednesday
6,0,23,1,Sunday
2,2,49,7,Wednesday
3,0,5,2,Tuesday
3,0,92,1,Friday
2,0,17,1,Sunday
5,2,62,7,Saturday
4,2,18,3,Saturday
2,0,39,2,Saturday
1,2,52,5,Friday
2,0,59,6,Sunday
4,1,13,7,Friday
5,0,33,1,Sunday
1,1,31,5,Monday
2,0,25,7,Friday
1,1,19,1,Saturday
4,0,17,1,Friday
5,0,70,4,Saturday
2,0,58,1,Thursday
3,1,38,5,Friday
2,0,4,1,Thursday
1,0,16,3,Friday
4,0,5,1,Friday
1,1,29,7,Friday
1,0,1,2,Friday
6,0,20,8,Saturday
4,1,2,1,Friday
1,0,64,2,Tuesday
2,0,31,1,Saturday
4,1,3,5,Friday
1,0,1,2,Saturday
6,0,0,9,Thursday
1,1,23,4,Wednesday
5,0,0,1,Wednesday
2,0,52,5,Friday
3,1,7,1,Thursday
3,0,83,1,Sunday
1,1,96,9,Friday
1,0,0,4,Sunday
1,0,13,1,Tuesday
2,0,100,1,Saturday
4,1,3,4,Saturday
3,1,48,1,Tuesday
4,2,0,6,Saturday
2,1,11,4,Monday
6,0,20,1,Friday
6,0,0,1,Friday
2,0,2,6,Friday
6,2,31,3,Sunday
2,2,14,7,Friday
4,2,2,4,Friday
1,0,11,1,Sunday
5,2,100,4,Wednesday
3,0,0,7,Wednesday
1,1,0,1,Friday
3,1,23,3,Friday
2,0,8,6,Monday
2,1,53,5,Saturday
1,0,97,2,Monday
1,2,3,2,Monday
3,0,4,1,Tuesday
2,0,1,5,Friday
1,0,0,1,Monday
2,0,27,2,Tuesday
1,0,54,2,Monday
1,2,0,9,Saturday
6,1,14,1,Sunday
1,2,51,2,Thursday
1,0,84,7,Saturday
6,0,10,2,Wednesday
1,1,53,9,Wednesday
1,0,11,4,Sunday
2,1,98,2,Friday
1,0,48,9,Saturday
1,0,6,1,Friday
5,0,50,6,Saturday
2,1,30,1,Friday
4,2,83,1,Wednesday
5,0,3,3,Tuesday
1,0,59,9,Saturday
1,2,85,8,Friday
1,1,48,7,Sunday
1,1,20,2,Friday
2,0,0,3,Monday
1,1,51,7,Saturday
3,0,0,1,Sunday
6,0,48,4,Tuesday
1,0,3,3,Friday
3,0,30,4,Wednesday
2,2,74,6,Thursday
5,1,56,2,Friday
1,1,96,2,Saturday
5,0,3,2,Saturday
5,0,93,2,Saturday
4,1,96,5,Saturday
3,0,17,4,Wednesday
1,0,21,9,Tuesday
1,0,0,5,Saturday
1,0,4,1,Friday
1,0,76,9,Saturday
1,0,2,6,Saturday
2,2,87,6,Tuesday
3,0,28,4,Sunday
6,0,92,7,Friday
2,1,16,2,Wednesday
1,2,52,2,Saturday
1,0,0,5,Wednesday
3,0,0,1,Sunday
4,0,100,3,Monday
6,0,1,1,Sunday
2,0,70,4,Friday
5,0,68,3,Friday
1,0,24,8,Saturday
4,0,57,1,Monday
2,0,3,6,Saturday
3,2,6,1,Wednesday
2,0,13,1,Sunday
1,0,8,3,Monday
2,0,1,8,Friday
1,1,46,2,Thursday
2,2,79,3,Saturday
2,0,0,8,Saturday
5,1,2,3,Monday
2,1,79,2,Sunday
4,2,15,2,Sunday
6,0,71,3,Wednesday
1,1,55,4,Saturday
6,0,2,3,Sunday
2,2,4,7,Friday
3,1,77,4,Friday
2,1,18,1,Wednesday
3,0,1,3,Sunday
5,2,0,2,Friday
5,2,3,1,Wednesday
5,0,28,1,Monday
6,0,76,3,Wednesday
3,1,11,1,Friday
2,0,22,1,Thursday
5,0,8,2,Friday
1,0,45,1,Friday
2,0,7,4,Sunday
3,1,53,6,Tuesday
2,0,3,4,Saturday
6,2,46,2,Saturday
6,1,18,5,Thursday
1,1,0,2,Sunday
6,0,27,1,Saturday
5,1,77,4,Thursday
1,0,59,1,Wednesday
4,0,28,8,Friday
6,0,0,1,Sunday
6,0,48,1,Monday
5,0,1,7,Sunday
6,0,20,9,Wednesday
2,1,0,1,Saturday
1,1,70,2,Monday
2,2,78,2,Tuesday
6,0,1,4,Friday
3,0,79,1,Monday
3,2,53,3,Saturday
4,1,53,2,Saturday
2,0,1,1,Saturday
1,0,81,1,Sunday
4,2,3,3,Tuesday
3,1,0,1,Sunday
1,1,66,1,Friday
2,2,1,7,Tuesday
1,0,73,1,Friday
2,0,25,1,Monday
1,2,1,2,Wednesday
4,2,68,1,Friday
2,0,59,4,Saturday
2,0,25,2,Saturday
3,0,24,2,Monday
1,0,23,4,Friday
4,1,51,1,Wednesday
1,0,47,2,Saturday
1,0,85,9,Sunday
1,2,4,1,Friday
6,2,14,4,Friday
1,0,99,4,Wednesday
1,0,27,6,Tuesday
4,2,41,1,Friday
2,2,0,5,Saturday
1,0,55,2,Tuesday
1,0,95,6,Saturday
1,0,38,5,Wednesday
4,1,10,1,Thursday
1,2,5,1,Monday
6,1,21,5,Tuesday
1,1,11,5,Friday
5,0,5,7,Saturday
3,2,95,1,Saturday
1,1,9,1,Thursday
5,0,0,3,Friday
2,1,5,1,Wednesday
1,2,49,5,Sunday
1,0,1,5,Thursday
2,0,50,3,Saturday
1,0,38,3,Monday
1,0,38,1,Wednesday
5,0,31,1,Tuesday
5,0,33,9,Friday
1,0,64,3,Tuesday
1,2,10,3,Friday
3,0,89,8,Saturday
6,2,0,6,Tuesday
6,2,7,2,Saturday
2,1,62,2,Saturday
2,1,64,7,Saturday
1,1,16,3,Friday
3,1,56,7,Sunday
4,2,3,2,Sunday
6,1,18,4,Friday
5,0,45,4,Monday
4,0,75,8,Friday
2,2,38,1,Thursday
1,2,41,3,Saturday
1,1,7,7,Friday
2,1,47,6,Sunday
1,0,42,8,Friday
2,1,8,5,Friday
5,0,78,3,Friday
3,0,98,1,Thursday
2,0,86,1,Wednesday
1,0,53,9,Friday
1,0,79,5,Saturday
1,0,25,1,Saturday
1,1,69,4,Friday
6,0,14,2,Friday
5,1,28,1,Monday
6,2,22,7,Friday
3,2,0,4,Friday
1,0,46,2,Friday
3,0,68,2,Friday
4,1,5,3,Saturday
1,1,1,1,Saturday
2,1,14,3,Tuesday
3,0,56,2,Saturday
1,0,39,5,Saturday
2,0,99,1,Saturday
3,0,57,2,Tuesday
4,1,52,1,Friday
5,0,55,2,Monday
1,0,53,7,Monday
1,1,32,4,Thursday
4,1,36,1,Saturday
4,1,75,1,Saturday
5,2,24,1,Tuesday
3,0,56,6,Tuesday
3,0,16,6,Friday
1,0,5,4,Saturday
1,0,44,1,Wednesday
5,0,20,6,Saturday
2,0,84,3,Saturday
1,0,61,5,Friday
1,0,98,6,Saturday
4,0,4,3,Friday
1,0,0,2,Wednesday
3,0,18,1,Tuesday
3,0,35,3,Tuesday
1,2,32,3,Saturday
1,0,26,4,Sunday
4,1,6,1,Wednesday
4,0,60,3,Monday
4,2,27,9,Saturday
4,2,57,8,Saturday
3,0,42,1,Tuesday
1,1,33,2,Friday
2,0,46,1,Tuesday
1,0,77,1,Thursday
6,0,20,5,Thursday
3,0,7,4,Wednesday
4,2,87,6,Friday
1,1,34,7,Friday
2,0,0,2,Saturday
5,1,61,2,Wednesday
1,0,38,6,Saturday
3,0,30,9,Tuesday
1,2,21,9,Thursday
2,2,2,2,Friday
2,0,4,1,Tuesday
1,1,0,1,Saturday
1,2,97,1,Wednesday
6,0,0,1,Friday
1,2,0,1,Wednesday
1,0,1,3,Saturday
3,0,78,2,Thursday
1,0,55,1,Wednesday
1,0,53,9,Friday
3,1,19,1,Saturday
4,2,97,2,Saturday
3,1,54,6,Sunday
1,2,36,3,Monday
1,1,77,4,Saturday
6,0,15,2,Wednesday
1,1,12,6,Sunday
3,1,6,1,Friday
3,1,6,9,Thursday
2,0,27,4,Friday
5,2,3,1,Thursday
1,0,43,2,Saturday
5,0,100,2,Friday
4,1,87,4,Friday
2,0,39,5,Thursday
2,0,2,1,Friday
5,0,50,2,Friday
2,2,0,3,Sunday
6,2,16,4,Wednesday
1,1,87,4,Saturday
5,0,3,4,Thursday
4,0,0,2,Monday
4,0,23,4,Friday
1,2,3,1,Saturday
1,0,58,7,Wednesday
2,0,33,7,Monday
3,0,61,2,Tuesday
2,2,43,3,Friday
3,0,58,5,Tuesday
1,1,6,1,Monday
3,1,0,1,Monday
1,2,2,2,Friday
6,0,23,8,Friday
1,0,38,2,Saturday
1,0,64,1,Monday
3,0,0,1,Tuesday
1,1,74,1,Friday
5,1,32,1,Wednesday
3,0,65,1,Tuesday
1,2,74,5,Friday
2,1,1,3,Friday
1,0,69,5,Friday
4,0,33,9,Monday
4,1,2,2,Friday
1,1,2,5,Friday
6,0,43,2,Tuesday
2,2,0,9,Sunday
4,0,46,1,Tuesday
5,1,77,4,Tuesday
4,1,88,1,Friday
2,0,15,1,Friday
1,0,21,1,Wednesday
6,1,57,5,Saturday
3,2,22,3,Tuesday
3,0,7,1,Tuesday
1,0,34,4,Friday
1,0,53,4,Saturday
2,0,14,1,Tuesday
1,0,59,5,Tuesday
5,2,91,2,Saturday
4,0,0,1,Wednesday
4,0,2,7,Saturday
1,1,17,9,Friday
3,0,71,2,Wednesday
3,0,45,9,Monday
1,0,57,2,Friday
2,2,60,1,Friday
1,2,39,1,Tuesday
3,0,72,3,Saturday
6,0,4,1,Friday
2,0,4,2,Monday
3,1,1,5,Monday
6,0,68,1,Sunday
1,1,12,6,Monday
2,0,12,6,Saturday
1,0,60,3,Thursday
4,0,0,6,Tuesday
2,2,17,2,Saturday
6,1,66,2,Tuesday
6,0,46,6,Saturday
2,0,78,1,Saturday
5,1,52,4,Friday
1,1,33,4,Sunday
2,0,26,4,Saturday
5,1,83,1,Thursday
3,1,87,3,Tuesday
4,0,52,4,Saturday
4,1,45,5,Tuesday
1,0,1,5,Friday
1,0,44,2,Sunday
2,1,15,5,Friday
1,0,0,1,Monday
4,0,10,1,Monday
2,0,33,9,Thursday
5,0,100,4,Tuesday
4,1,0,3,Saturday
1,2,22,2,Friday
2,1,2,1,Saturday
3,2,54,6,Wednesday
5,0,93,1,Wednesday
5,1,35,1,Wednesday
3,2,0,9,Saturday
1,2,14,9,Friday
3,0,74,5,Sunday
1,1,21,3,Wednesday
1,1,0,3,Monday
2,1,12,8,Thursday
5,1,48,2,Friday
4,2,0,4,Wednesday
1,2,0,1,Saturday
4,1,5,4,Friday
3,1,2,4,Tuesday
1,0,10,8,Friday
5,1,91,1,Saturday
2,1,100,6,Saturday
3,0,66,8,Thursday
1,0,0,4,Saturday
5,0,84,1,Sunday
3,0,0,3,Friday
1,0,9,3,Friday
3,0,43,3,Saturday
1,0,56,5,Saturday
5,0,74,1,Monday
4,1,86,6,Saturday
5,1,6,5,Saturday
4,0,43,1,Thursday
1,2,25,1,Friday
1,0,2,5,Saturday
2,1,2,7,Friday
1,0,9,2,Saturday
3,2,0,2,Monday
2,0,87,5,Saturday
4,0,52,4,Thursday
1,0,3,5,Friday
2,0,3,1,Saturday
3,1,39,2,Thursday
2,2,71,5,Wednesday
1,0,20,5,Friday
4,1,1,9,Thursday
5,0,21,9,Wednesday
1,0,43,9,Sunday
4,0,2,1,Saturday
6,0,65,3,Tuesday
1,1,42,6,Saturday
3,0,2,8,Friday
2,1,18,6,Friday
2,0,34,4,Tuesday
1,2,1,1,Saturday
2,2,74,2,Saturday
3,0,3,1,Tuesday
2,1,82,1,Monday
1,1,22,2,Thursday
1,0,27,3,Wednesday
1,1,0,3,Thursday
6,0,46,3,Monday
1,0,72,4,Friday
1,1,1,3,Friday
4,1,100,6,Saturday
5,0,50,4,Saturday
5,2,10,8,Friday
3,0,0,2,Monday
5,1,50,5,Tuesday
5,2,56,1,Saturday
2,0,47,1,Friday
3,1,23,2,Monday
3,0,37,1,Tuesday
5,0,71,7,Wednesday
5,0,15,5,Saturday
2,1,42,5,Monday
2,1,91,4,Saturday
1,0,8,9,Saturday
3,0,15,5,Friday
3,0,55,3,Saturday
1,0,71,9,Saturday
4,0,72,5,Tuesday
3,2,2,2,Sunday
6,1,42,5,Friday
1,2,35,1,Saturday
2,0,17,3,Thursday
2,1,20,4,Friday
1,0,35,4,Wednesday
3,2,0,1,Thursday
6,0,0,3,Thursday
6,2,99,3,Thursday
1,1,43,4,Sunday
4,2,48,1,Friday
6,1,34,6,Saturday
3,0,33,5,Sunday
3,2,7,4,Sunday
1,0,2,3,Sunday
5,2,8,4,Sunday
2,2,84,9,Sunday
6,2,14,3,Thursday
1,0,1,2,Sunday
4,0,0,3,Thursday
6,2,80,3,Friday
3,1,7,1,Saturday
2,2,95,8,Friday
2,0,37,7,Saturday
2,1,78,5,Friday
5,2,1,7,Saturday
1,1,29,6,Wednesday
1,0,0,3,Friday
5,0,10,3,Monday
5,0,1,5,Thursday
2,0,3,3,Tuesday
2,2,72,2,Wednesday
2,1,99,1,Sunday
6,1,54,5,Tuesday
6,1,47,1,Friday
3,0,34,2,Monday
1,0,6,1,Friday
4,0,0,1,Friday
5,0,18,8,Tuesday
3,1,33,9,Friday
2,0,1,1,Sunday
4,0,12,1,Saturday
2,0,1,4,Wednesday
1,0,2,8,Friday
4,1,2,2,Sunday
2,0,65,1,Friday
6,2,34,1,Saturday
6,1,10,8,Sunday
1,1,6,1,Friday
1,2,77,2,Sunday
1,1,14,6,Sunday
2,1,0,7,Friday
3,1,24,1,Saturday
1,0,11,7,Monday
4,1,87,2,Friday
1,0,0,1,Saturday
3,1,65,1,Saturday
2,0,96,3,Sunday
3,2,10,1,Friday
2,2,31,5,Wednesday
6,0,30,1,Friday
1,1,2,2,Friday
1,0,0,3,Sunday
1,0,1,5,Saturday
1,0,21,3,Thursday
6,0,18,2,Saturday
4,2,99,2,Saturday
1,0,100,3,Friday
3,0,24,6,Tuesday
1,1,65,4,Wednesday
5,1,2,2,Saturday
1,1,88,2,Thursday
2,2,69,2,Saturday
6,1,1,6,Sunday
4,1,2,2,Friday
2,0,37,5,Friday
3,1,21,1,Monday
1,1,43,8,Thursday
5,0,100,1,Friday
6,1,31,1,Saturday
1,2,6,4,Saturday
1,2,66,2,Saturday
5,0,20,3,Monday
1,2,73,8,Saturday
3,0,72,1,Saturday
1,1,63,7,Saturday
3,0,0,2,Sunday
2,1,52,1,Sunday
2,0,0,1,Wednesday
1,2,6,2,Thursday
2,0,0,1,Sunday
1,0,42,4,Friday
4,0,16,1,Tuesday
3,2,95,8,Saturday
6,0,7,5,Friday
3,1,26,9,Wednesday
5,0,75,9,Saturday
1,0,79,3,Friday
2,1,68,9,Sunday
2,0,0,1,Saturday
4,1,5,3,Saturday
1,0,7,1,Thursday
1,0,10,1,Thursday
4,2,45,3,Saturday
2,2,34,2,Friday
1,0,38,9,Monday
2,0,100,1,Friday
1,1,6,2,Monday
1,1,22,7,Monday
2,1,0,1,Friday
5,1,57,2,Friday
6,1,44,2,Tuesday
2,2,60,8,Friday
4,0,62,5,Saturday
2,0,1,2,Wednesday
4,0,33,8,Thursday
1,0,63,4,Sunday
4,0,12,3,Saturday
6,0,0,3,Thursday
4,0,19,4,Friday
1,1,32,9,Thursday
2,0,81,8,Saturday
1,0,3,3,Friday
1,1,5,6,Sunday
1,0,1,1,Friday
2,1,51,3,Tuesday
1,0,22,1,Friday
5,0,13,9,Monday
1,1,2,5,Sunday
3,0,21,1,Friday
4,0,95,1,Wednesday
3,0,51,4,Saturday
2,2,73,1,Wednesday
1,0,21,2,Saturday
2,0,67,2,Tuesday
6,0,69,1,Tuesday
1,0,64,3,Friday
3,0,80,3,Thursday
3,0,8,1,Saturday
5,1,10,2,Tuesday
2,0,33,6,Monday
1,0,7,8,Friday
1,0,6,2,Friday
2,0,2,1,Saturday
4,0,1,9,Wednesday
2,1,6,2,Saturday
5,1,59,7,Thursday
5,1,19,4,Saturday
2,1,33,6,Wednesday
3,0,44,5,Wednesday
6,0,14,4,Sunday
1,0,0,3,Friday
3,0,65,7,Thursday
1,2,0,1,Saturday
2,0,24,3,Monday
4,1,1,1,Friday
2,0,35,3,Friday
1,0,0,9,Monday
5,2,2,1,Tuesday
4,0,58,1,Friday
1,0,55,1,Monday
2,2,88,7,Saturday
5,1,32,1,Thursday
2,2,81,4,Wednesday
6,1,0,2,Monday
4,1,89,6,Wednesday
1,0,42,3,Monday
1,2,0,2,Friday
6,1,52,4,Saturday
1,1,10,1,Friday
4,1,9,2,Saturday
3,2,80,3,Saturday
2,2,75,7,Monday
2,0,28,4,Tuesday
5,0,20,5,Friday
1,0,75,5,Saturday
1,2,3,1,Monday
1,0,69,2,Thursday
3,0,10,1,Friday
3,0,48,6,Tuesday
2,1,100,8,Saturday
2,1,24,1,Thursday
2,0,87,3,Wednesday
1,2,2,2,Friday
3,0,90,4,Friday
1,0,7,2,Friday
5,0,0,1,Friday
1,1,9,1,Thursday
5,2,67,3,Friday
4,1,60,1,Monday
5,1,30,6,Sunday
2,1,16,1,Saturday
4,0,60,7,Friday
6,0,13,7,Wednesday
1,0,35,1,Wednesday
1,0,38,8,Thursday
2,0,1,7,Saturday
1,1,33,8,Thursday
2,1,60,1,Friday
5,0,58,3,Saturday
1,1,92,9,Saturday
1,2,94,5,Wednesday
5,0,1,6,Wednesday
2,0,99,3,Friday
2,0,5,7,Wednesday
3,1,14,3,Wednesday
2,0,1,1,Saturday
4,1,0,2,Saturday
2,0,78,1,Sunday
5,0,90,8,Saturday
3,0,97,1,Sunday
5,0,9,7,Saturday
4,0,5,6,Saturday
3,0,7,3,Wednesday
1,0,39,1,Saturday
3,0,77,7,Saturday
2,2,88,5,Friday
6,1,3,3,Saturday
5,0,7,4,Sunday
2,1,97,4,Friday
6,0,89,8,Wednesday
1,1,12,4,Sunday
3,1,20,7,Friday
4,2,53,1,Saturday
2,0,28,5,Wednesday
4,0,41,3,Sunday
2,0,10,6,Saturday
2,0,73,9,Saturday
2,2,33,1,Thursday
6,2,0,9,Saturday
2,2,59,1,Saturday
4,0,0,2,Friday
2,1,50,4,Thursday
1,1,8,9,Saturday
6,2,85,3,Friday
1,0,5,2,Thursday
1,1,58,4,Friday
3,0,41,3,Tuesday
3,0,0,8,Friday
4,0,49,2,Saturday
3,0,12,7,Saturday
3,1,0,1,Saturday
1,0,57,3,Thursday
2,0,27,1,Monday
6,1,14,5,Saturday
1,2,3,3,Saturday
3,2,1,5,Saturday
4,0,68,7,Monday
2,2,1,1,Thursday
3,0,29,9,Saturday
1,0,19,4,Wednesday
2,0,6,2,Thursday
2,0,20,1,Thursday
5,0,69,1,Tuesday
2,1,73,2,Saturday
1,2,31,3,Wednesday
1,0,11,2,Friday
1,1,8,2,Wednesday
1,1,0,2,Friday
2,0,34,1,Friday
1,1,1,2,Saturday
4,1,68,2,Tuesday
4,1,37,8,Sunday
2,0,1,2,Thursday
5,1,4,2,Sunday
1,0,70,2,Friday
1,0,38,1,Friday
1,2,2,5,Saturday
5,1,1,3,Saturday
3,2,1,1,Thursday
5,0,0,1,Friday
1,0,88,1,Sunday
1,1,84,2,Friday
1,0,0,2,Wednesday
3,1,0,5,Tuesday
4,0,1,1,Friday
2,1,77,2,Friday
6,0,67,2,Friday
2,0,0,6,Sunday
4,1,11,8,Friday
4,1,5,1,Monday
6,0,1,2,Saturday
1,0,45,7,Saturday
1,1,1,9,Tuesday
1,0,57,1,Sunday
2,0,7,2,Thursday
5,1,23,4,Thursday
1,0,90,9,Saturday
1,0,7,2,Monday
6,2,66,5,Tuesday
5,1,54,3,Saturday
1,0,21,1,Tuesday
1,0,63,2,Monday
6,0,1,1,Saturday
4,2,6,1,Monday
1,0,51,3,Sunday
1,0,6,5,Tuesday
1,2,21,1,Tuesday
1,2,91,1,Tuesday
2,1,9,1,Thursday
3,0,91,3,Monday
2,0,38,4,Tuesday
6,1,72,2,Monday
1,0,92,2,Friday
1,0,2,1,Friday
1,0,0,1,Monday
6,0,2,7,Friday
4,1,5,6,Friday
1,1,18,2,Friday
4,1,86,9,Friday
6,0,0,2,Friday
3,0,9,4,Friday
6,0,1,2,Sunday
3,2,81,2,Friday
1,0,4,2,Sunday
5,2,46,1,Thursday
1,0,93,2,Friday
4,1,9,1,Wednesday
3,2,12,2,Friday
1,2,95,2,Wednesday
2,0,4,1,Tuesday
1,0,98,5,Thursday
2,1,10,9,Thursday
4,1,1,1,Saturday
1,2,62,3,Friday
1,0,34,2,Saturday
2,0,23,6,Friday
2,0,0,1,Friday
2,0,74,1,Monday
2,1,51,1,Saturday
5,0,71,1,Wednesday
5,0,0,3,Thursday
3,0,18,3,Wednesday
3,2,84,1,Friday
3,0,4,1,Sunday
1,0,92,1,Friday
2,1,37,2,Sunday
2,0,0,4,Friday
6,1,34,1,Sunday
1,1,46,2,Wednesday
1,1,42,2,Wednesday
4,0,55,2,Tuesday
4,1,2,9,Tuesday
4,0,42,1,Thursday
2,2,3,3,Sunday
1,1,14,1,Saturday
3,1,13,1,Friday
1,1,7,3,Friday
1,0,72,6,Tuesday
2,2,1,9,Friday
1,0,5,4,Thursday
1,0,0,6,Wednesday
2,0,0,1,Friday
2,0,69,5,Monday
1,1,30,1,Saturday
3,2,0,6,Thursday
3,1,9,6,Saturday
1,1,93,4,Saturday
5,0,71,4,Friday
4,0,57,2,Monday
3,0,67,7,Saturday
1,0,3,2,Wednesday
2,1,64,3,Thursday
3,2,41,5,Friday
6,0,26,4,Friday
1,1,25,7,Wednesday
4,0,85,1,Friday
2,0,5,2,Friday
2,0,4,6,Saturday
5,0,8,5,Sunday
5,1,98,7,Saturday
1,1,83,1,Saturday
2,1,69,6,Tuesday
1,0,0,1,Thursday
3,1,45,5,Sunday
1,0,11,5,Thursday
1,0,84,8,Tuesday
2,1,83,8,Saturday
1,0,71,6,Monday
1,2,60,8,Friday
6,0,2,3,Friday
5,0,16,1,Friday
1,2,0,1,Sunday
5,0,19,2,Saturday
1,1,70,5,Saturday
3,2,82,8,Wednesday
1,2,34,3,Sunday
4,1,7,4,Monday
1,2,11,8,Friday
1,0,89,1,Monday
6,0,7,5,Tuesday
2,0,59,2,Sunday
4,2,12,4,Tuesday
5,2,93,5,Tuesday
1,0,36,5,Sunday
2,0,5,1,Friday
3,1,24,1,Thursday
3,0,0,5,Sunday
5,0,62,2,Saturday
1,0,22,8,Friday
1,0,60,1,Saturday
2,2,81,5,Monday
3,0,66,1,Sunday
4,0,10,4,Friday
1,0,78,3,Tuesday
2,0,16,1,Thursday
3,1,0,6,Monday
5,0,0,7,Friday
2,1,4,3,Thursday
1,0,26,2,Tuesday
3,1,46,7,Sunday
3,1,0,5,Friday
2,1,0,3,Friday
3,0,24,6,Monday
4,1,9,4,Saturday
3,0,29,1,Saturday
4,1,22,1,Saturday
1,1,70,3,Friday
1,0,85,2,Friday
3,0,10,7,Wednesday
3,0,1,4,Monday
2,0,73,2,Wednesday
1,2,90,1,Wednesday
4,0,98,1,Friday
1,1,55,5,Monday
2,0,66,1,Sunday
3,0,40,9,Tuesday
1,0,90,2,Thursday
5,0,43,1,Wednesday
2,0,50,3,Friday
4,1,1,1,Saturday
1,1,49,1,Sunday
4,0,96,2,Friday
5,0,67,5,Friday
1,1,9,2,Friday
5,0,0,2,Wednesday
4,0,23,7,Thursday
6,0,7,3,Friday
2,2,40,1,Monday
2,2,87,2,Friday
2,2,9,4,Thursday
3,1,87,3,Saturday
2,0,62,2,Friday
2,0,52,1,Friday
4,0,60,8,Tuesday
5,2,11,1,Friday
1,1,44,1,Sunday
1,2,97,2,Sunday
1,0,98,5,Friday
1,0,5,5,Saturday
6,0,49,4,Monday
1,0,9,5,Friday
6,0,80,5,Friday
1,0,49,8,Sunday
3,0,93,9,Saturday
1,0,8,8,Saturday
4,2,50,1,Friday
1,0,0,7,Sunday
3,1,39,3,Monday
1,0,5,5,Monday
1,2,14,1,Thursday
4,0,16,3,Thursday
5,0,93,8,Saturday
2,0,0,1,Saturday
3,0,0,5,Friday
3,0,81,1,Sunday
5,1,17,2,Monday
3,0,50,3,Tuesday
2,0,61,9,Saturday
1,2,34,2,Thursday
1,2,29,6,Friday
5,1,38,4,Saturday
2,0,14,7,Wednesday
2,1,77,5,Friday
5,0,93,4,Friday
1,1,48,1,Friday
1,0,100,4,Tuesday
2,0,10,3,Saturday
1,0,42,6,Saturday
1,1,80,5,Thursday
2,0,18,4,Friday
3,0,5,4,Friday
2,2,5,3,Sunday
1,0,37,4,Saturday
2,0,1,3,Tuesday
3,0,36,4,Friday
3,0,93,9,Sunday
5,0,42,7,Tuesday
2,1,44,2,Friday
4,2,10,3,Sunday
3,1,41,1,Saturday
4,0,38,2,Saturday
1,2,38,5,Friday
1,2,33,7,Saturday
3,0,0,8,Saturday
6,0,2,9,Saturday
6,1,74,5,Friday
2,1,35,1,Thursday
1,1,60,7,Saturday
4,2,1,1,Saturday
2,0,32,2,Sunday
2,1,75,7,Sunday
6,0,35,1,Wednesday
1,1,6,6,Saturday
2,0,3,1,Friday
2,0,40,4,Wednesday
3,0,25,3,Tuesday
6,0,12,7,Saturday
1,0,1,7,Friday
2,1,86,5,Tuesday
5,2,58,7,Saturday
4,0,7,1,Monday
2,0,55,7,Friday
3,1,86,1,Friday
1,0,48,1,Saturday
2,0,2,2,Friday
6,0,0,2,Wednesday
2,0,4,2,Saturday
4,1,50,9,Wednesday
6,0,3,8,Monday
1,0,37,3,Friday
1,0,13,4,Friday
2,1,74,1,Saturday
1,0,51,7,Saturday
5,1,2,8,Saturday
2,1,51,7,Friday
2,0,82,2,Monday
5,0,24,5,Saturday
2,0,32,8,Friday
2,0,96,6,Wednesday
2,1,95,6,Sunday
2,0,16,3,Sunday
6,0,21,2,Monday
1,0,65,6,Thursday
4,0,55,1,Friday
4,0,90,5,Monday
2,1,90,5,Friday
4,2,1,3,Friday
2,0,1,2,Tuesday
6,0,38,1,Monday
2,0,31,1,Thursday
1,0,84,8,Friday
3,0,1,1,Thursday
3,2,9,4,Friday
5,0,9,1,Friday
1,0,68,4,Tuesday
2,2,80,9,Friday
1,1,60,8,Saturday
3,0,0,3,Sunday
3,0,69,1,Saturday
4,0,92,2,Friday
4,0,68,4,Wednesday
5,0,18,2,Wednesday
1,0,62,8,Saturday
3,0,52,2,Sunday
2,0,2,1,Monday
1,1,0,2,Tuesday
4,1,32,1,Monday
4,2,65,8,Wednesday
4,1,98,1,Tuesday
2,0,62,3,Friday
2,2,45,1,Friday
1,0,71,3,Friday
1,0,62,3,Saturday
4,1,93,2,Saturday
2,0,82,1,Friday
2,1,34,3,Tuesday
6,2,89,9,Sunday
2,1,30,2,Saturday
6,2,86,1,Monday
1,0,54,1,Monday
1,0,36,5,Wednesday
4,0,58,1,Friday
3,2,0,7,Wednesday
1,1,24,2,Saturday
2,0,2,9,Friday
1,1,54,4,Friday
3,1,0,3,Thursday
2,0,70,2,Thursday
6,0,34,9,Saturday
2,0,12,2,Wednesday
2,0,3,4,Sunday
3,0,58,9,Tuesday
4,2,76,2,Saturday
4,1,37,6,Wednesday
2,0,17,9,Tuesday
2,2,46,1,Saturday
2,1,49,1,Sunday
2,2,1,1,Monday
4,0,22,1,Sunday
1,2,0,8,Thursday
1,0,46,2,Sunday
1,0,37,1,Saturday
1,0,39,3,Wednesday
1,0,2,3,Thursday
6,2,94,3,Saturday
1,0,9,3,Sunday
2,0,0,1,Monday
6,0,0,2,Thursday
5,2,40,2,Friday
1,0,12,2,Sunday
6,0,62,1,Friday
3,0,0,1,Saturday
1,0,3,2,Monday
5,1,2,6,Friday
